k1,k2,k3,k4,k5,k6,k7,k8,st,k9,k10,cb_person_cred_hist_length
30,150000,RENT,14,DEBTCONSOLIDATION,A,12000,7.29,0,0.08,N,7
42,44000,RENT,0,DEBTCONSOLIDATION,A,6000,9.63,0,0.14,N,14
31,50402,MORTGAGE,4,PERSONAL,C,3000,13.22,0,0.06,N,9
24,70000,MORTGAGE,1,VENTURE,B,25000,10.62,0,0.36,N,2
23,38400,MORTGAGE,5,EDUCATION,A,10000,7.14,0,0.26,N,3
22,25000,OWN,6,VENTURE,A,13000,7.88,0,0.52,N,3
29,84000,RENT,9,DEBTCONSOLIDATION,C,13000,12.53,0,0.15,Y,7
25,42000,RENT,1,VENTURE,A,8000,5.99,0,0.19,N,2
42,60000,RENT,3,HOMEIMPROVEMENT,A,7200,5.79,0,0.12,N,11
39,35000,RENT,8,EDUCATION,C,8000,13.22,0,0.23,Y,14
28,53000,OWN,3,EDUCATION,A,7475,7.9,0,0.14,N,8
27,40000,RENT,2,EDUCATION,A,3000,7.4,0,0.07,N,9
22,56000,MORTGAGE,3,EDUCATION,D,10075,16.29,0,0.18,Y,4
22,45000,RENT,4,EDUCATION,B,10000,10.65,0,0.22,N,3
23,96000,MORTGAGE,2,MEDICAL,A,12000,7.49,0,0.13,N,4
23,83000,MORTGAGE,7,EDUCATION,B,1500,11.12,0,0.02,N,2
26,70000,RENT,2,DEBTCONSOLIDATION,B,10000,9.45,0,0.14,N,3
28,100000,MORTGAGE,13,VENTURE,A,13000,8.59,0,0.13,N,5
41,37000,OWN,0,VENTURE,C,10000,13.79,0,0.27,Y,13
28,60000,MORTGAGE,6,DEBTCONSOLIDATION,B,4125,9.99,0,0.07,N,10
23,85000,OWN,4,EDUCATION,C,9600,13.61,0,0.11,N,3
31,63372,RENT,7,PERSONAL,B,3000,,0,0.05,N,7
29,50000,MORTGAGE,9,MEDICAL,A,10000,7.88,0,0.2,N,8
23,70000,MORTGAGE,1,PERSONAL,B,5000,11.12,0,0.07,N,3
22,54996,RENT,0,EDUCATION,C,5000,12.54,0,0.09,Y,3
25,30000,RENT,4,EDUCATION,B,5000,11.86,0,0.17,N,2
30,64000,MORTGAGE,3,EDUCATION,A,10200,6.62,0,0.16,N,5
32,55000,RENT,0,PERSONAL,B,8000,10,0,0.15,N,9
24,25000,RENT,0,DEBTCONSOLIDATION,A,4400,6.76,0,0.18,N,3
25,62004,MORTGAGE,10,HOMEIMPROVEMENT,C,15000,13.47,0,0.24,N,4
37,70000,RENT,3,EDUCATION,B,4900,12.18,0,0.07,N,15
25,54000,RENT,5,PERSONAL,B,5000,12.21,0,0.09,N,4
27,100000,MORTGAGE,2,MEDICAL,C,10000,12.09,0,0.1,Y,9
22,41196,RENT,6,PERSONAL,C,6800,11.59,0,0.17,Y,2
30,98700,MORTGAGE,12,EDUCATION,B,6000,,0,0.06,N,6
46,74000,MORTGAGE,18,VENTURE,C,20000,12.68,0,0.27,Y,16
21,68000,RENT,4,EDUCATION,B,18000,10.65,0,0.26,N,2
31,30000,RENT,4,MEDICAL,A,2200,7.49,0,0.07,N,10
29,64548,RENT,1,PERSONAL,C,1000,14.27,0,0.02,Y,5
30,90000,RENT,14,PERSONAL,D,10000,15.62,0,0.11,Y,6
34,70000,RENT,19,MEDICAL,B,2400,11.99,0,0.03,N,7
33,55000,MORTGAGE,7,VENTURE,B,3500,10.65,0,0.06,N,10
23,74196,RENT,2,EDUCATION,B,18500,11.26,0,0.25,N,3
23,92004,MORTGAGE,7,EDUCATION,B,24250,11.12,0,0.26,N,2
26,45600,RENT,0,MEDICAL,B,7000,9.99,0,0.15,N,3
24,65000,MORTGAGE,6,PERSONAL,B,11000,11.49,0,0.17,N,2
33,54000,RENT,15,PERSONAL,B,10000,10.99,0,0.19,N,6
26,90000,MORTGAGE,2,EDUCATION,C,25000,11.09,0,0.28,N,4
26,117500,RENT,0,VENTURE,A,13800,7.49,0,0.12,N,3
29,240000,MORTGAGE,11,PERSONAL,D,35000,14.91,0,0.15,N,6
46,50000,RENT,0,MEDICAL,B,4350,10.99,0,0.09,N,15
30,36000,MORTGAGE,4,PERSONAL,C,11500,13.57,0,0.32,N,8
29,94000,MORTGAGE,13,PERSONAL,A,30000,6.62,0,0.32,N,7
22,42500,RENT,0,EDUCATION,C,5000,12.98,0,0.12,N,4
24,26650,MORTGAGE,6,MEDICAL,B,1000,12.53,0,0.04,N,2
23,51000,RENT,0,DEBTCONSOLIDATION,A,1000,7.14,0,0.02,N,2
22,125000,MORTGAGE,0,PERSONAL,D,25000,,0,0.2,Y,2
29,124000,MORTGAGE,11,HOMEIMPROVEMENT,A,2000,5.42,0,0.02,N,7
22,50663,RENT,0,DEBTCONSOLIDATION,C,7500,13.22,0,0.15,N,3
30,54000,MORTGAGE,6,MEDICAL,A,5375,,0,0.1,N,5
25,37000,OWN,6,MEDICAL,B,9000,10.25,0,0.24,N,3
32,50000,RENT,0,EDUCATION,C,6400,13.35,0,0.13,N,8
29,100000,MORTGAGE,2,PERSONAL,C,5000,15.96,0,0.05,N,8
41,109920,MORTGAGE,18,DEBTCONSOLIDATION,C,20000,13.35,0,0.18,Y,17
22,40000,MORTGAGE,5,DEBTCONSOLIDATION,B,8000,9.76,0,0.2,N,4
30,125000,MORTGAGE,14,VENTURE,A,5750,7.43,0,0.05,N,10
26,150000,MORTGAGE,6,EDUCATION,D,6400,15.62,0,0.04,Y,2
27,60000,RENT,3,VENTURE,F,7000,19.47,0,0.12,N,7
22,105000,MORTGAGE,6,DEBTCONSOLIDATION,B,12800,11.83,0,0.12,N,3
32,95200,MORTGAGE,15,EDUCATION,A,15000,5.99,0,0.16,N,7
37,90000,RENT,15,HOMEIMPROVEMENT,A,12000,7.51,0,0.13,N,11
25,35000,RENT,3,VENTURE,B,2400,12.53,0,0.07,N,2
23,34000,OWN,7,VENTURE,A,10950,7.29,0,0.32,N,2
29,110000,MORTGAGE,0,VENTURE,A,15000,8.94,0,0.14,N,7
24,30000,RENT,8,MEDICAL,B,8000,9.25,0,0.27,N,2
25,30000,RENT,4,MEDICAL,B,5000,11.86,0,0.17,N,4
35,52000,MORTGAGE,7,DEBTCONSOLIDATION,A,7000,6.03,0,0.13,N,5
25,68000,RENT,4,PERSONAL,C,20000,12.53,0,0.29,Y,4
25,46000,RENT,9,PERSONAL,A,7000,8.49,0,0.15,N,2
23,38004,RENT,5,VENTURE,A,5000,6.91,0,0.13,N,2
29,52000,MORTGAGE,6,VENTURE,D,12000,15.65,0,0.23,N,8
21,27000,RENT,5,VENTURE,A,5000,5.42,0,0.19,N,3
35,30000,MORTGAGE,11,MEDICAL,B,11000,10.65,0,0.37,N,10
22,36000,MORTGAGE,2,DEBTCONSOLIDATION,A,10000,8.32,0,0.28,N,3
21,57000,OWN,5,PERSONAL,B,8000,10.65,0,0.14,N,3
27,66240,RENT,7,VENTURE,A,5000,5.79,0,0.08,N,6
48,140000,MORTGAGE,4,EDUCATION,B,18000,9.99,0,0.13,N,12
30,38000,MORTGAGE,14,PERSONAL,A,6000,6.62,0,0.16,N,5
24,200000,RENT,8,MEDICAL,B,12000,12.69,0,0.06,N,2
24,66000,MORTGAGE,8,PERSONAL,D,15000,18.25,0,0.23,N,4
29,104000,MORTGAGE,7,DEBTCONSOLIDATION,A,35000,7.49,0,0.34,N,8
48,41500,RENT,3,MEDICAL,A,5000,7.29,0,0.12,N,14
49,88000,RENT,11,VENTURE,A,12000,6.62,0,0.14,N,17
26,40000,MORTGAGE,6,HOMEIMPROVEMENT,B,6000,11.99,0,0.15,N,2
39,60000,MORTGAGE,19,VENTURE,A,15000,6.91,0,0.25,N,14
33,44004,MORTGAGE,4,EDUCATION,A,9275,7.29,0,0.21,N,7
21,24396,MORTGAGE,2,VENTURE,D,4000,15.05,0,0.16,N,4
39,39996,RENT,1,VENTURE,B,12000,10.74,0,0.3,N,16
32,80000,RENT,16,PERSONAL,C,6000,,0,0.07,Y,6
30,57000,MORTGAGE,6,HOMEIMPROVEMENT,A,4000,8,0,0.07,N,8
26,33000,MORTGAGE,10,PERSONAL,A,7000,7.43,0,0.21,N,4
22,65000,RENT,1,EDUCATION,A,12000,8.94,0,0.18,N,4
25,70000,MORTGAGE,6,VENTURE,A,14000,5.42,0,0.2,N,2
27,36600,MORTGAGE,6,VENTURE,A,5000,5.42,0,0.14,N,5
25,60000,MORTGAGE,2,PERSONAL,B,6900,9.99,0,0.12,N,2
66,54000,RENT,3,MEDICAL,D,8000,16.02,0,0.15,Y,26
38,21000,MORTGAGE,5,HOMEIMPROVEMENT,C,3000,13.43,0,0.14,Y,17
23,20124,RENT,,DEBTCONSOLIDATION,C,5950,13.49,0,0.3,Y,3
41,28000,OWN,9,EDUCATION,A,2000,7.74,0,0.07,N,16
32,45000,MORTGAGE,12,EDUCATION,A,4800,7.49,0,0.11,N,7
24,82500,OWN,8,VENTURE,A,10000,5.79,0,0.12,N,4
21,52000,MORTGAGE,1,EDUCATION,C,16000,12.87,0,0.31,N,4
42,82000,MORTGAGE,13,HOMEIMPROVEMENT,E,26800,,0,0.33,Y,15
23,66000,MORTGAGE,,PERSONAL,A,10000,5.42,0,0.15,N,3
21,30000,RENT,5,EDUCATION,B,7500,11.83,0,0.25,N,4
26,123996,MORTGAGE,10,MEDICAL,A,2000,5.42,0,0.02,N,4
29,38600,OWN,9,VENTURE,C,1600,12.84,0,0.04,Y,7
25,201000,MORTGAGE,9,DEBTCONSOLIDATION,A,14000,7.66,0,0.07,N,4
45,107473,RENT,0,MEDICAL,C,4800,12.23,0,0.04,Y,11
25,365000,MORTGAGE,7,VENTURE,B,35000,10.65,0,0.1,N,2
28,53000,RENT,2,MEDICAL,A,8500,5.79,0,0.16,N,9
31,294000,MORTGAGE,7,VENTURE,A,12000,8.94,0,0.04,N,6
30,45000,RENT,2,VENTURE,A,13250,7.9,0,0.29,N,10
36,200000,OWN,12,HOMEIMPROVEMENT,D,25000,15.2,0,0.13,Y,13
24,65000,MORTGAGE,8,VENTURE,D,7200,17.58,0,0.11,Y,4
23,40992,RENT,7,EDUCATION,B,5000,10.99,0,0.12,N,2
24,50004,RENT,4,DEBTCONSOLIDATION,C,7200,12.84,0,0.14,Y,3
28,55000,MORTGAGE,7,PERSONAL,A,8000,,0,0.15,N,9
26,35000,MORTGAGE,1,PERSONAL,B,6000,12.21,0,0.17,N,4
30,125000,MORTGAGE,14,HOMEIMPROVEMENT,C,25000,13.8,0,0.2,N,6
28,66000,MORTGAGE,2,VENTURE,A,6500,5.79,0,0.1,N,9
25,32640,RENT,4,DEBTCONSOLIDATION,C,4000,12.73,0,0.12,Y,4
26,40000,OWN,0,EDUCATION,B,15000,9.64,0,0.38,N,4
25,48000,OWN,0,PERSONAL,B,6000,10.65,0,0.13,N,2
40,60000,RENT,3,HOMEIMPROVEMENT,D,10000,15.95,0,0.17,N,14
22,24605,OWN,3,EDUCATION,C,10000,,0,0.41,N,4
23,122000,MORTGAGE,7,EDUCATION,C,16000,13.49,0,0.13,N,2
40,80004,MORTGAGE,15,EDUCATION,A,9500,7.51,0,0.12,N,12
25,175000,MORTGAGE,10,HOMEIMPROVEMENT,A,8000,7.9,0,0.05,N,2
24,56496,RENT,5,EDUCATION,A,2000,9.32,0,0.04,N,3
23,20400,RENT,0,PERSONAL,A,4800,,0,0.24,N,2
23,59000,RENT,3,MEDICAL,C,4500,12.68,0,0.08,Y,3
21,72000,RENT,3,EDUCATION,A,6000,5.42,0,0.08,N,4
22,53832,MORTGAGE,2,MEDICAL,C,11700,12.87,0,0.22,N,2
22,25000,RENT,0,PERSONAL,A,7500,7.51,0,0.3,N,4
22,65000,RENT,6,DEBTCONSOLIDATION,B,17700,11.49,0,0.27,N,2
36,1200000,OWN,16,MEDICAL,A,10000,6.54,0,0.01,N,11
40,75000,MORTGAGE,1,VENTURE,A,10000,6.62,0,0.13,N,17
24,90996,MORTGAGE,2,EDUCATION,A,16000,7.88,0,0.18,N,3
25,15000,RENT,0,VENTURE,A,2200,7.88,0,0.15,N,2
33,56000,RENT,1,EDUCATION,A,6500,6.76,0,0.12,N,6
22,30000,MORTGAGE,3,EDUCATION,A,5000,6.91,0,0.17,N,3
21,50400,RENT,4,VENTURE,D,8000,15.62,0,0.16,Y,2
23,96000,MORTGAGE,4,PERSONAL,A,9000,6.62,0,0.09,N,4
22,33000,MORTGAGE,4,EDUCATION,C,12500,14.26,0,0.38,N,2
25,105000,MORTGAGE,2,DEBTCONSOLIDATION,B,9600,11.71,0,0.09,N,3
31,99504,RENT,5,DEBTCONSOLIDATION,C,7500,13.57,0,0.08,N,10
29,92000,MORTGAGE,8,HOMEIMPROVEMENT,A,12000,6.62,0,0.13,N,8
37,43000,RENT,0,MEDICAL,B,8000,11.49,0,0.19,N,13
21,60000,RENT,5,MEDICAL,A,6000,,0,0.1,N,4
24,65000,MORTGAGE,3,PERSONAL,B,12000,9.91,0,0.18,N,3
22,48000,RENT,1,MEDICAL,C,1600,14.26,0,0.03,N,4
33,62800,RENT,3,PERSONAL,C,16000,13.11,0,0.25,Y,5
23,45000,RENT,5,EDUCATION,D,7500,15.37,0,0.17,Y,4
25,67000,MORTGAGE,3,PERSONAL,A,3000,7.9,0,0.04,N,3
23,62000,MORTGAGE,3,VENTURE,A,4000,8.9,0,0.06,N,2
25,108000,MORTGAGE,10,HOMEIMPROVEMENT,B,24250,10.75,0,0.22,N,2
32,79872,MORTGAGE,4,DEBTCONSOLIDATION,C,12000,12.68,0,0.15,N,10
23,57500,RENT,5,EDUCATION,A,9000,6.91,0,0.16,N,2
24,38700,RENT,2,MEDICAL,B,10000,,0,0.26,N,3
25,120000,RENT,1,HOMEIMPROVEMENT,A,12000,,0,0.1,N,3
23,77000,RENT,2,DEBTCONSOLIDATION,B,16000,11.14,0,0.21,N,3
28,75000,RENT,4,DEBTCONSOLIDATION,B,9000,12.21,0,0.12,N,8
23,120000,RENT,0,DEBTCONSOLIDATION,C,10000,11.66,0,0.08,N,2
29,100000,RENT,0,EDUCATION,C,5000,12.23,0,0.05,N,8
22,70000,MORTGAGE,6,EDUCATION,A,6000,7.14,0,0.09,N,4
26,67000,MORTGAGE,1,VENTURE,A,29000,7.51,0,0.43,N,2
22,60000,MORTGAGE,7,PERSONAL,B,12000,10,0,0.2,N,3
22,24000,RENT,0,DEBTCONSOLIDATION,C,5200,13.49,0,0.22,Y,2
22,46300,RENT,1,EDUCATION,A,6400,,0,0.14,N,4
28,46000,RENT,0,MEDICAL,A,2500,6.91,0,0.05,N,8
27,41000,RENT,2,DEBTCONSOLIDATION,C,2000,15.27,0,0.05,Y,7
21,18000,RENT,3,EDUCATION,A,2500,7.88,0,0.14,N,2
24,30000,MORTGAGE,0,DEBTCONSOLIDATION,C,6000,13.57,0,0.2,N,2
24,70000,MORTGAGE,8,VENTURE,A,10000,7.74,0,0.14,N,3
23,117000,MORTGAGE,8,VENTURE,E,14000,15.68,0,0.12,Y,4
27,103250,RENT,1,VENTURE,C,25000,12.73,0,0.24,N,10
27,36000,MORTGAGE,2,VENTURE,A,4800,8.49,0,0.13,N,8
26,120000,MORTGAGE,5,EDUCATION,A,8000,7.29,0,0.07,N,2
44,67000,RENT,5,MEDICAL,C,10000,13.49,0,0.15,N,12
22,79000,MORTGAGE,6,MEDICAL,A,10375,6.62,0,0.13,N,4
28,139913,MORTGAGE,7,HOMEIMPROVEMENT,A,5375,8.94,0,0.04,N,6
25,38000,RENT,9,EDUCATION,B,4800,11.71,0,0.13,N,3
29,25000,OWN,5,VENTURE,C,10000,13.49,0,0.4,Y,6
23,69000,RENT,7,MEDICAL,B,4800,10.75,0,0.07,N,2
25,48000,RENT,3,DEBTCONSOLIDATION,B,2000,10.74,0,0.04,N,3
25,42000,OWN,6,EDUCATION,A,18000,,0,0.43,N,2
29,35000,OWN,11,MEDICAL,C,4200,12.99,0,0.12,N,8
22,84996,RENT,6,VENTURE,C,5000,12.23,0,0.06,Y,3
25,40000,RENT,9,DEBTCONSOLIDATION,B,8000,12.42,0,0.2,N,2
26,36000,MORTGAGE,5,PERSONAL,A,4000,,0,0.11,N,3
24,73000,MORTGAGE,3,EDUCATION,C,8000,13.23,0,0.11,Y,2
25,42000,RENT,4,VENTURE,A,1925,6.17,0,0.05,N,2
26,135000,MORTGAGE,10,DEBTCONSOLIDATION,C,24000,12.99,0,0.18,N,2
35,92000,MORTGAGE,11,VENTURE,A,12000,6.99,0,0.13,N,8
23,90000,RENT,5,MEDICAL,A,8000,6.92,0,0.09,N,3
27,42500,MORTGAGE,4,DEBTCONSOLIDATION,C,8000,13.06,0,0.19,N,5
22,70000,MORTGAGE,7,EDUCATION,A,2000,7.9,0,0.03,N,3
21,33996,RENT,0,PERSONAL,B,5000,12.18,0,0.15,N,3
34,26496,OWN,7,MEDICAL,B,4400,10.59,0,0.17,N,8
24,38000,RENT,8,PERSONAL,C,6500,11.34,0,0.17,Y,3
39,52000,RENT,2,VENTURE,B,4500,11.99,0,0.09,N,11
30,100000,MORTGAGE,14,EDUCATION,A,13000,7.88,0,0.13,N,9
33,24996,MORTGAGE,3,PERSONAL,C,6600,12.99,0,0.26,Y,6
28,39600,RENT,6,VENTURE,B,4500,10.25,0,0.11,N,10
30,20520,RENT,0,MEDICAL,B,5000,9.99,0,0.24,N,9
27,75000,RENT,11,VENTURE,D,6000,15.21,0,0.08,Y,9
28,64000,RENT,13,MEDICAL,B,7000,10.59,0,0.11,N,6
30,20000,RENT,2,PERSONAL,A,5000,8.59,0,0.25,N,5
31,62400,MORTGAGE,8,EDUCATION,D,8500,14.09,0,0.14,N,5
35,94000,MORTGAGE,9,DEBTCONSOLIDATION,B,15000,9.88,0,0.16,N,9
26,101400,MORTGAGE,10,DEBTCONSOLIDATION,A,5600,6.62,0,0.06,N,3
25,37000,MORTGAGE,6,HOMEIMPROVEMENT,D,7000,15.62,0,0.19,Y,3
25,59000,RENT,2,VENTURE,B,7800,12.21,0,0.13,N,2
38,81120,MORTGAGE,5,HOMEIMPROVEMENT,B,8000,11.12,0,0.1,N,12
21,35000,OWN,2,VENTURE,C,7200,15.23,0,0.21,N,4
32,27840,RENT,3,PERSONAL,E,6000,,0,0.22,Y,5
23,75000,RENT,1,MEDICAL,A,6000,6.03,0,0.08,N,3
22,63500,MORTGAGE,5,EDUCATION,B,7200,,0,0.11,N,3
37,20004,RENT,0,VENTURE,B,5000,,0,0.25,N,14
22,12000,RENT,1,VENTURE,A,1500,6.99,0,0.13,N,2
29,134000,MORTGAGE,9,DEBTCONSOLIDATION,A,6000,5.99,0,0.04,N,8
26,96640,OTHER,8,EDUCATION,B,25000,11.58,0,0.26,N,2
38,313000,MORTGAGE,0,DEBTCONSOLIDATION,C,21600,,0,0.07,Y,16
25,300000,MORTGAGE,9,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3
23,82000,RENT,2,DEBTCONSOLIDATION,B,20900,12.69,0,0.25,N,2
26,67500,RENT,0,EDUCATION,B,3000,8.88,0,0.04,N,2
26,71760,MORTGAGE,10,PERSONAL,E,3000,19.91,0,0.04,N,3
32,45000,RENT,9,MEDICAL,A,12000,7.88,0,0.27,N,6
29,63000,RENT,13,MEDICAL,A,10000,7.49,0,0.16,N,5
23,45000,OWN,,EDUCATION,C,15000,14.79,0,0.33,N,4
23,22800,RENT,5,DEBTCONSOLIDATION,A,1775,6.99,0,0.08,N,2
22,48000,RENT,0,EDUCATION,A,1000,7.29,0,0.02,N,4
39,78840,MORTGAGE,18,DEBTCONSOLIDATION,B,15000,11.71,0,0.19,N,13
23,100000,MORTGAGE,0,PERSONAL,A,7000,8.59,0,0.07,N,3
34,80300,MORTGAGE,3,PERSONAL,C,15000,12.73,0,0.19,Y,9
31,78504,RENT,2,EDUCATION,C,10000,11.41,0,0.13,N,7
37,56000,MORTGAGE,2,HOMEIMPROVEMENT,A,13000,9.63,0,0.23,N,17
27,39480,MORTGAGE,2,EDUCATION,C,7200,13.79,0,0.18,N,7
26,45000,MORTGAGE,9,PERSONAL,D,10000,16.89,0,0.22,N,3
47,305000,MORTGAGE,6,HOMEIMPROVEMENT,C,10000,13.43,0,0.03,Y,12
22,35000,RENT,0,VENTURE,C,2000,12.99,0,0.06,Y,2
25,56000,RENT,1,PERSONAL,B,6000,10.74,0,0.11,N,2
26,122500,RENT,1,HOMEIMPROVEMENT,B,10000,10.65,0,0.08,N,2
26,112000,RENT,1,EDUCATION,C,12000,13.49,0,0.11,Y,4
25,56000,MORTGAGE,5,PERSONAL,C,10250,14.65,0,0.18,Y,4
23,56000,RENT,2,PERSONAL,B,12000,10.75,0,0.21,N,3
27,43200,RENT,0,VENTURE,A,12000,8.94,0,0.28,N,5
36,130000,RENT,0,MEDICAL,B,18000,11.71,0,0.14,N,14
30,96300,MORTGAGE,1,EDUCATION,C,18000,13.98,0,0.19,N,9
31,54000,MORTGAGE,12,DEBTCONSOLIDATION,A,6000,7.14,0,0.11,N,5
27,64000,RENT,3,MEDICAL,B,18000,11.11,0,0.28,N,8
23,50400,MORTGAGE,7,EDUCATION,B,2500,10.99,0,0.05,N,4
23,39996,RENT,0,EDUCATION,C,6000,11.66,0,0.15,N,3
24,62000,MORTGAGE,7,PERSONAL,A,6200,,0,0.1,N,3
24,56000,RENT,2,VENTURE,B,6650,12.69,0,0.12,N,2
23,98280,MORTGAGE,7,EDUCATION,A,9400,6.62,0,0.1,N,3
27,24000,RENT,4,DEBTCONSOLIDATION,B,7000,10.75,0,0.29,N,10
23,80196,OWN,2,VENTURE,B,30000,9.91,0,0.37,N,3
26,87292,MORTGAGE,5,MEDICAL,A,9600,5.99,0,0.11,N,4
23,34884,RENT,3,EDUCATION,A,2000,6.92,0,0.06,N,2
24,105000,MORTGAGE,6,EDUCATION,B,25000,10.74,0,0.24,N,3
28,95000,RENT,5,EDUCATION,B,8000,12.42,0,0.08,N,6
25,72000,MORTGAGE,9,EDUCATION,A,3200,6.39,0,0.04,N,3
33,115000,MORTGAGE,3,PERSONAL,A,14000,6.03,0,0.12,N,8
26,85200,MORTGAGE,10,HOMEIMPROVEMENT,A,8000,6.03,0,0.09,N,4
27,67200,MORTGAGE,2,HOMEIMPROVEMENT,A,10750,6.91,0,0.16,N,6
29,60000,RENT,1,HOMEIMPROVEMENT,C,6000,14.79,0,0.1,N,9
31,68000,RENT,1,PERSONAL,A,6000,7.49,0,0.09,N,6
29,92000,MORTGAGE,4,HOMEIMPROVEMENT,A,14000,6.03,0,0.15,N,8
36,36000,MORTGAGE,0,VENTURE,A,12000,9.63,0,0.33,N,15
25,138000,MORTGAGE,0,MEDICAL,B,5000,11.86,0,0.04,N,4
32,52392,RENT,9,HOMEIMPROVEMENT,B,14000,,0,0.27,N,10
27,50000,MORTGAGE,5,VENTURE,A,12000,9.32,0,0.24,N,8
22,90000,MORTGAGE,6,EDUCATION,B,6400,9.88,0,0.07,N,3
23,29666,OTHER,1,VENTURE,A,3000,9.32,0,0.1,N,3
23,20664,RENT,4,EDUCATION,C,4550,13.72,0,0.22,Y,3
31,60000,MORTGAGE,5,PERSONAL,A,17000,8.9,0,0.28,N,8
27,31200,RENT,2,PERSONAL,B,3000,10.99,0,0.1,N,6
26,32000,RENT,3,DEBTCONSOLIDATION,A,5000,7.49,0,0.16,N,2
22,106000,MORTGAGE,5,EDUCATION,F,25000,18.09,0,0.24,N,3
26,64800,MORTGAGE,5,EDUCATION,B,2000,11.99,0,0.03,N,3
21,45000,RENT,3,EDUCATION,B,10000,10.25,0,0.22,N,2
23,19200,RENT,2,EDUCATION,B,2000,10.59,0,0.1,N,4
44,32004,RENT,4,EDUCATION,C,4000,14.35,0,0.12,N,13
26,57000,MORTGAGE,10,VENTURE,A,14000,5.42,0,0.25,N,4
36,408000,MORTGAGE,12,HOMEIMPROVEMENT,A,35000,7.9,0,0.09,N,13
38,65000,OWN,3,PERSONAL,B,8000,10.62,0,0.12,N,14
24,86400,MORTGAGE,2,DEBTCONSOLIDATION,A,12200,7.29,0,0.14,N,3
24,104000,MORTGAGE,2,VENTURE,A,19000,,0,0.18,N,4
25,120000,MORTGAGE,1,HOMEIMPROVEMENT,C,3000,14.27,0,0.03,Y,4
39,68000,RENT,0,HOMEIMPROVEMENT,A,2500,7.88,0,0.04,N,12
31,35000,MORTGAGE,0,MEDICAL,C,15000,13.92,0,0.43,Y,8
24,40000,RENT,1,VENTURE,B,3825,10,0,0.1,N,4
30,56000,MORTGAGE,5,EDUCATION,B,1500,,0,0.03,N,7
26,80004,MORTGAGE,4,EDUCATION,B,15000,11.86,0,0.19,N,3
28,30000,MORTGAGE,4,EDUCATION,A,3000,6.76,0,0.1,N,9
30,32000,RENT,0,MEDICAL,B,6000,,0,0.19,N,9
30,60000,MORTGAGE,0,HOMEIMPROVEMENT,A,6000,8.94,0,0.1,N,8
24,62000,MORTGAGE,8,DEBTCONSOLIDATION,A,10000,7.49,0,0.16,N,3
26,85000,MORTGAGE,10,PERSONAL,A,12000,6.62,0,0.14,N,3
28,79995,OWN,3,PERSONAL,C,15000,,0,0.19,N,10
25,70000,RENT,4,MEDICAL,B,12000,10.37,0,0.17,N,3
42,50426,RENT,0,MEDICAL,A,4200,7.49,0,0.08,N,14
44,80000,MORTGAGE,3,DEBTCONSOLIDATION,C,15000,13.11,0,0.19,N,16
31,22000,RENT,5,VENTURE,F,1400,22.06,0,0.06,Y,7
27,100000,MORTGAGE,10,MEDICAL,B,12000,9.96,0,0.12,N,10
21,9600,OWN,5,EDUCATION,B,1000,11.14,0,0.1,N,2
33,41000,MORTGAGE,6,MEDICAL,A,9000,,0,0.22,N,9
26,99085,MORTGAGE,10,VENTURE,D,8000,14.91,0,0.08,Y,4
54,95000,MORTGAGE,3,PERSONAL,B,6500,10.65,0,0.07,N,26
28,55640,MORTGAGE,9,MEDICAL,C,5000,,0,0.09,N,7
23,65000,RENT,0,MEDICAL,A,15000,7.88,0,0.23,N,3
31,29736,RENT,4,EDUCATION,A,7000,6.92,0,0.24,N,8
22,76000,RENT,4,EDUCATION,A,12000,7.9,0,0.16,N,4
40,90000,MORTGAGE,2,DEBTCONSOLIDATION,B,2800,10.65,0,0.03,N,14
22,60000,OWN,,EDUCATION,B,20000,11.12,0,0.33,N,3
23,49000,MORTGAGE,7,VENTURE,C,4000,13.99,0,0.08,N,4
28,80000,RENT,3,HOMEIMPROVEMENT,C,17000,13.85,0,0.21,Y,8
34,50000,OWN,0,VENTURE,A,16000,7.51,0,0.32,N,7
27,157544,MORTGAGE,8,DEBTCONSOLIDATION,C,35000,12.99,0,0.22,Y,10
29,41000,OWN,6,MEDICAL,B,5000,11.99,0,0.12,N,5
28,72000,RENT,6,MEDICAL,A,15000,6.54,0,0.21,N,6
40,48000,RENT,1,VENTURE,B,6000,10.08,0,0.13,N,13
27,91000,MORTGAGE,2,HOMEIMPROVEMENT,A,3000,5.99,0,0.03,N,8
22,58000,RENT,4,PERSONAL,C,5000,13.85,0,0.09,N,2
22,102000,MORTGAGE,3,MEDICAL,A,18000,8.49,0,0.18,N,3
30,42000,RENT,2,MEDICAL,A,10000,,0,0.24,N,7
25,85000,MORTGAGE,5,EDUCATION,C,9600,13.85,0,0.11,N,2
26,38400,RENT,2,MEDICAL,B,7200,9.91,0,0.19,N,2
25,180000,MORTGAGE,9,HOMEIMPROVEMENT,B,14400,,0,0.08,N,2
30,90000,MORTGAGE,10,PERSONAL,A,5000,6.76,0,0.06,N,5
24,72000,RENT,5,HOMEIMPROVEMENT,B,8000,10,0,0.11,N,3
41,100000,RENT,3,PERSONAL,B,12000,10.74,0,0.12,N,14
23,40000,MORTGAGE,7,DEBTCONSOLIDATION,C,6000,14.79,0,0.15,Y,3
25,76000,RENT,1,EDUCATION,A,5000,7.9,0,0.07,N,3
